State,County,Population_Diversity_Index,Black_pop_perc
SD,Jerauld,13.2059,0.2
OH,Fayette,12.6397,2.4
ME,Aroostook,10.2487,0.8
AZ,Pima,57.6978,4
AL,Clarke,52.1338,44.2
KY,Menifee,9.0852,2.7
SD,Corson,48.2813,0.2
TX,Jim Hogg,14.7644,0.6
AR,Crittenden,53.5179,51.5
IA,Davis,5.4949,0.2
IN,Huntington,8.3575,0.5
VA,Newport News city,61.4894,41.2
LA,West Baton Rouge Parish,52.0215,37.9
NC,Caswell,50.886,33.4
MI,Muskegon,38.1813,14.2
NM,San Juan,64.5004,0.8
FL,Charlotte,26.9019,6.1
TX,Brazoria,63.7752,13.3
TX,Lee,52.2405,11.2
MN,Pennington,16.4305,1.6
VA,Floyd,11.7069,1.9
ID,Jerome,47.8635,0.6
CA,Butte,42.3592,1.8
SD,Clark,7.5803,0.9
PA,Huntingdon,16.2959,5.5
TX,Jackson,53.3163,7.5
UT,Summit,26.0788,0.7
IN,Floyd,20.7276,5.3
ND,Richland,14.0984,0.8
WI,Pepin,6.0722,0.5
MD,Cecil,24.5427,6.5
GA,Wilkinson,52.2181,38.1
VA,Prince William,68.1277,21.4
GA,Stewart,60.1801,50.8
WI,Sauk,15.6354,0.8
MO,Scotland,4.1415,0.1
TX,Hopkins,41.4569,7.4
IL,Brown,40.9032,19.1
KY,Union,29.477,13.2
MI,Schoolcraft,24.5399,0.2
MO,Cape Girardeau,23.4437,7.7
WY,Big Horn,22.6043,1.5
MO,St. Clair,10.6005,0.7
NC,Alleghany,23.1248,1.7
MS,Forrest,53.0621,36.9
TX,Crane,51.2567,3.6
AR,Cleveland,26.6254,11.9
IN,Wabash,9.8671,0.7
IN,LaPorte,33.3887,11.2
NE,McPherson,4.525,0.4
CO,Las Animas,53.8094,1.7
OH,Meigs,5.6914,0.9
NC,Watauga,14.8004,1.9
NC,Catawba,38.6788,8.8
TX,King,34.2505,0
AR,Poinsett,22.2089,7.8
AR,Pulaski,57.2213,35.7
WA,Pacific,29.74,0.9
TX,Stephens,40.5812,2.5
CO,Phillips,36.2141,1
WY,Weston,14.7697,0.6
NE,Boyd,8.3589,0.2
OH,Morrow,7.0297,0.5
IA,Pottawattamie,20.064,1.5
MI,Montcalm,14.9824,2.5
WI,Ozaukee,13.924,1.5
KY,Laurel,7.7974,0.8
MO,Gentry,5.1141,0.5
KY,Owsley,5.1132,0.5
OR,Curry,22.8668,0.4
GA,Worth,45.9178,29.1
OK,Greer,39.1145,7.4
WA,Island,33.1073,2.7
TN,Roane,13.005,2.7
LA,St. Landry Parish,52.2006,41.3
KY,Trigg,21.5354,7.8
MN,Lincoln,6.2594,0.1
MT,Madison,11.1403,0.5
IA,Mills,9.8473,0.5
OH,Coshocton,7.2249,1.2
MS,Panola,52.6081,49.6
