Year,Age,Gender,Race,official_action,Victim_Criminal_Charges_Simplified,Shootings_manner_of_death,armed_simplified,Shootings_signs_of_mental_illness,Shootings_threat_level,Shootings_flee,Shootings_body_camera,Geography,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_per_10k,n,Crime_Index_10k,police_frac_total_expend,officers_per_10k_pop,density_p_mi2_2020,density_p_mi2_2017
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,16.2,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,15.6,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,15.4,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,15.1,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,14.2,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,13.8,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,13.4,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,12.4,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,11.7,256.3727,253.7996328
2015,24,M,H,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,601.73,0.040001548,11.6,256.3727,253.7996328
