Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,IL,Champaign,1,14.5,NA,48.19,12.8,87.29,64,209382,210.17,49.91,42.17,100
2015,IL,Cook,11,16.63,3.31,68.5,24.6,99.95,3477.5,5244088,5547.36,48.49,36.69,0
2015,IL,Douglas,1,NA,NA,16.85,0.6,38.36,10,19835,47.6,49.47,29.52,0
2015,IL,DuPage,1,11.7,NA,49.23,5.1,99.95,180.75,933609,2850.71,49.07,31.96,0
2015,IL,Lake,1,NA,32.62,53.67,7.4,98.73,176.5,704611,1588.14,49.94,30.94,100
2015,IL,Massac,1,NA,88.64,19.83,5.7,49.49,14.75,14567,61.41,47.96,27.78,0
2015,IL,Rock Island,1,NA,NA,42.39,9.6,89.08,49.5,146094,341.63,49.32,30.7,0
2015,IL,Will,1,NA,NA,52.28,11.6,96.07,200.5,685877,819.53,49.64,32.14,0
2015,IL,Williamson,1,NA,90.88,17.11,4.2,65.2,58.25,67428,160.49,49.7,31.7,0
2015,IL,Winnebago,1,18.9,54.9,46.05,12.7,92.09,170.75,287148,559.35,48.85,30.64,0
2015,IL,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,IN,Allen,1,17.4,54.79,40.86,12.2,88.12,255.25,367362,558.89,48.81,32.73,0
2015,IN,Clay,1,NA,NA,6.46,0.6,39.11,18,26395,73.82,49.33,30.09,0
2015,IN,Delaware,1,14.2,79.55,22.49,7.1,77.19,64.25,115767,295.23,48.33,35.8,0
2015,IN,Howard,1,17.1,NA,24.85,7.2,78.46,42.5,82338,280.96,48.43,29.37,100
2015,IN,Jefferson,1,NA,NA,12.27,2,54.9,28.75,32297,89.56,48.05,31.43,0
2015,IN,Marion,10,NA,NA,57.21,27.6,99.4,1025.75,939843,2371.54,48.16,36.62,0
2015,IN,Orange,1,NA,NA,8.18,1.2,16.54,15.5,19634,49.28,49.62,27.88,0
2015,IN,Shelby,1,NA,118.56,13.32,1.2,47.95,28.75,44341,107.85,49.49,29.69,0
2015,IN,Vigo,1,21.6,187.21,25.22,7.1,76.24,77,107533,266.63,50.79,35.84,0
2015,IN,White,1,NA,NA,18.02,0.8,32.03,12.25,24274,48.05,49.67,26.9,0
2015,KS,Johnson,1,13.65,9.45,33.34,4.9,96.17,245.75,579684,1224.56,48.99,33.35,0
2015,KS,Reno,1,NA,NA,26.32,3.3,68.7,33,63596,50.66,50.27,29.88,0
2015,KS,Saline,1,NA,NA,33.16,3.5,85.41,28,55429,76.96,49.48,30.55,100
2015,KS,Sedgwick,2,15.3,4.42,49.01,9.5,92.34,352.75,511083,512.36,49.41,33.37,0
2015,KS,Shawnee,1,22.4,115.87,41.46,8.8,84.18,151.5,178689,328.46,48.47,30.4,0
2015,KS,Thomas,1,NA,NA,15.6,0.8,69.15,14.75,7895,7.35,49.02,31.77,0
2015,KS,Wyandotte,2,NA,NA,67.89,25.1,93.94,201,163682,1079.7,49.38,34.47,0
2015,KY,Cumberland,1,NA,20.92,10.4,2.9,0,26.75,6737,22.08,49.09,26.3,0
2015,KY,Daviess,1,16.4,99.57,19,4.9,72.98,66,99485,217.05,48.62,30.78,0
2015,KY,Grayson,1,NA,NA,7.42,1.2,26.42,33,26138,52.62,50.29,30.32,0
2015,KY,Hardin,2,NA,29.92,39.51,12.8,65.79,67,106272,170.5,49.84,33.36,0
2015,KY,Jefferson,3,18.2,0.03,46.51,21.4,98.63,696.25,764946,2010.79,48.34,33.66,0
2015,KY,Jessamine,1,NA,NA,17.5,3.4,74.1,35,51809,301.01,48.71,32.68,0
2015,KY,Kenton,2,NA,NA,19.88,4.9,93.02,83.5,164478,1026.38,49.48,33.79,0
2015,KY,Knott,1,NA,19.57,4.92,0.9,0,18.25,15680,44.61,49.67,30.18,0
2015,KY,Lyon,1,NA,NA,16.29,5.7,0,14.5,8474,39.63,56.5,29.62,0
2015,KY,Magoffin,1,NA,NA,3.95,0.3,0,13.5,12784,41.45,50.23,30.35,0
2015,KY,Perry,1,NA,NA,7.98,1.6,25.93,32.5,27373,80.59,49.21,31.55,0
2015,KY,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,LA,Avoyelles,1,NA,NA,NA,NA,36.22,49.75,NA,NA,NA,NA,100
2015,LA,Bossier,1,NA,NA,NA,NA,75.66,93,NA,NA,NA,NA,0
2015,LA,Caddo,2,26,NA,NA,NA,85.56,260.5,NA,NA,NA,NA,0
2015,LA,Caddo Parish,1,NA,NA,55.04,48,NA,NA,251345,NA,47.47,32.74,0
2015,LA,Calcasieu,1,NA,NA,NA,NA,79.5,159.75,NA,NA,NA,NA,0
2015,LA,East Baton Rouge,3,29.5,NA,NA,NA,93.12,513.25,NA,NA,NA,NA,0
2015,LA,Evangeline,1,NA,NA,NA,NA,38.91,47.25,NA,NA,NA,NA,0
2015,LA,Franklin,1,NA,NA,NA,NA,25.81,20,NA,NA,NA,NA,0
2015,LA,Jefferson,3,23.1,NA,NA,NA,98.86,417,NA,NA,NA,NA,66.67
2015,LA,Livingston,1,NA,NA,NA,NA,58.88,126.75,NA,NA,NA,NA,0
2015,LA,Orleans,4,NA,NA,NA,NA,99.41,778.75,NA,NA,NA,NA,25
2015,LA,Rapides,2,NA,NA,NA,NA,60.47,128.5,NA,NA,NA,NA,0
2015,LA,St. Bernard,1,NA,NA,NA,NA,95.75,39.75,NA,NA,NA,NA,0
2015,LA,St. Mary,1,NA,NA,NA,NA,86.96,46,NA,NA,NA,NA,0
2015,LA,St. Tammany,2,NA,NA,NA,NA,76.78,168.75,NA,NA,NA,NA,0
2015,LA,Terrebonne,1,NA,NA,NA,NA,79.37,95.5,NA,NA,NA,NA,0
2015,LA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,MA,Essex,2,16.6,NA,41.16,6,95.76,122.75,776865,1577.2,48.16,30.72,0
2015,MA,Middlesex,1,NA,NA,41.03,5.4,96.97,142.25,1585432,1938.61,48.84,35.3,0
2015,MA,Norfolk,1,NA,NA,36.5,6.7,98.76,76.5,694502,1753.31,47.98,31.25,0
2015,MA,Plymouth,1,18.85,NA,28.01,9.6,89.69,83.25,509221,772.62,48.6,28.47,0
2015,MA,Suffolk,3,25.4,NA,66.05,24.5,99.93,219,782591,13458.14,48.36,45.76,33.33
2015,MA,Worcester,1,NA,NA,35.12,5.1,81.61,149,818117,541.52,49.29,31.76,0
2015,MD,Anne Arundel,1,NA,0,46.34,16.4,94.7,217.25,563027,1357.02,49.54,33.76,0
2015,MD,Baltimore,5,NA,NA,55.23,27.5,96.74,423.25,827533,1383.14,47.39,32.51,0
2015,MD,Baltimore City,2,NA,NA,NA,NA,NA,1106.5,NA,NA,NA,NA,0
2015,MD,Cecil,2,NA,138.46,24.54,6.5,57.9,57,102382,295.67,49.66,30.35,0
2015,MD,Frederick,1,21,118.43,39.75,9.1,74.79,85.5,245001,371.09,49.25,31.41,0
