Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2018,WI,12,31,5807406,6.3,137.13,107.53,33,0,70.2,50,39.6,32.70017042,445.7,3.6
2018,WV,7,39,1804291,3.9,230.84,74.76,15,0,48.7,49,42.7,31.35128541,1346.75,2.4
2018,WY,4,37,577601,0.9,2320.81,5.9,28,0,64.8,51,38,33.41618669,517.04,2.5
2019,AK,7,29.5,731545,2.9,280.5,1.29,60,0,66,51,35,35.74596202,1027.16,2.8
2019,AL,11,39,4903185,26.7,343.17,96.59,50,0,NA,48,39.4,32.89492441,1025.29,3.1
2019,AR,21,37,3017804,15.2,360.53,58.07,45,4.76,56.2,49,38.5,33.10025221,1041.54,2.8
2019,AZ,35,30,7278717,4.1,281.39,63.36,60,2.86,89.8,49,38.2,33.95476568,782.85,5.1
2019,CA,135,36,39512223,5.5,95.33,255.09,69,1.48,95,49,37,36.40625233,654.21,4
2019,CO,36,36.5,5758736,3.9,195.69,55.25,49,8.33,86.2,50,37.1,37.15429261,793.96,3.8
2019,CT,4,40,3565287,9.9,210.02,738.46,52,25,88,49,41.1,32.30541297,371.78,3.5
2019,DC,1,53,705749,45.3,847.78,11595.57,65,0,100,47,34.2,46.87030517,1119.94,4.7
2019,DE,2,40.5,973764,21.5,54.23,498.93,56,0,83.3,48,41.1,31.57447256,1028.22,3.6
2019,FL,64,39.5,21477737,15.4,201.41,400.72,62,0,91.2,49,42.5,31.97675611,926.85,5.4
2019,GA,37,39,10617423,31.1,212.85,184.01,62,2.7,75.1,48,37.1,34.80713131,1065.79,3.8
2019,HI,7,30,1415872,1.6,61.2,221.1,80,0,91.9,49,39.6,32.43488748,678.67,3.4
2019,IA,6,28.5,3155070,3.3,115.81,56.62,26,0,64,50,38.5,32.9644886,805.9,2.6
2019,ID,7,33,1787065,0.6,329.01,21.44,31,14.29,70.6,50,36.9,33.46668319,501.85,3.8
2019,IL,13,32,12671821,14,116.56,229.31,57,0,88.5,49,38.6,34.45576118,838.59,4.5
2019,IN,17,45,6732219,9.2,198.44,187.18,36,0,72.4,49,37.9,33.6919053,948.64,2.5
2019,KS,9,51,2913314,5.5,186.76,35.61,41,0,74.2,49,37.1,33.45011513,850.91,3.2
2019,KY,15,34,4467673,8,209.77,113.38,28,0,58.4,49,39.1,33.10086282,533.6,2
2019,LA,20,32.5,4648794,32.1,250.38,107.97,55,0,73.2,48,37.5,34.26945653,1188.75,3.9
2019,MA,5,32,6892503,7,57.87,886.95,47,0,92,49,39.6,34.88327017,476.6,3.3
2019,MD,19,42,6045680,29.4,212.2,625.08,64,0,87.2,48,39.1,33.64659506,1058.03,4.5
2019,ME,3,29,1344212,1.2,129.52,43.47,13,0,38.7,49,45,30.18561338,499.44,2.6
2019,MI,13,41,9986857,13.6,83.46,176.93,42,0,74.6,49,39.9,32.73278128,735.97,3
2019,MN,11,31,5639632,6.4,174.81,70.81,35,0,73.3,50,38.3,33.76828428,692.03,3.4
2019,MO,28,32.5,6137428,11.4,143.82,89.34,35,3.57,70.4,49,38.9,33.30664403,1135.18,3.9
2019,MS,18,32,2976149,37.9,175.89,63.65,54,0,49.4,48,38,33.17954568,989.03,2.9
2019,MT,6,38,1068778,0.4,219.65,7.34,25,0,55.9,50,40.1,32.66508139,1008.19,3.5
2019,NC,34,35,10488084,21.2,172.78,214.79,55,0,66.1,48,39.1,33.28116444,889.09,3.9
2019,NE,6,32.5,1934408,4.5,153.81,25.2,36,0,73.1,50,36.8,33.66204949,775.18,2.8
2019,NH,2,48,1359711,1.3,436.42,151.57,18,0,60.3,50,43.1,31.74514836,281.32,3.8
2019,NJ,12,41.5,8882190,12.8,101.57,1219.89,63,8.33,94.7,49,40.1,33.03921334,646.72,3.8
2019,NM,19,36,2096829,1.8,504.74,17.25,61,0,77.4,49,38.4,33.1046234,1190.53,3.2
2019,NV,11,37,3080156,8.9,314.34,27.95,66,0,94.2,50,38.3,34.98246685,618.97,5.8
2019,NY,23,32.5,19453561,14.3,42.62,416.86,63,4.35,87.9,48,39.2,34.83455873,547.04,3.7
2019,OH,24,36.5,11689100,12.2,150.41,286.41,36,4.17,77.9,49,39.5,32.75590156,799.39,3.5
2019,OK,35,34,3956971,7.2,210.04,57.48,55,5.72,66.2,49,36.9,34.12551374,944.71,3.5
2019,OR,18,38.5,4217737,1.8,177.16,43.98,41,0,81,49,39.6,35.2330554,704.22,3
2019,PA,14,32.5,12801989,10.7,212.02,286.37,40,0,78.7,49,40.8,32.49180759,695.71,3.1
2019,SC,18,34,5148714,26.8,192.83,170.23,52,0,66.3,48,39.9,32.5413052,1138.43,3
2019,SD,3,29,884659,1.9,351.93,11.69,31,0,56.7,50,37.4,32.40765959,727.54,2.9
2019,TN,33,40,6829174,16.6,177.39,165.07,42,0,66.4,48,39,33.85071506,958.78,4.1
2019,TX,108,34,28995881,11.8,250.16,110.59,65,0.93,84.7,49,35,36.30215636,755.13,3.6
2019,UT,12,35.5,3205958,1.2,291.46,38.85,37,0,90.6,50,31.3,37.85700005,890.6,2.9
